Date,Amount,Category,Description
2026-08-01,250,Food,Lunch
2026-08-02,120,Transport,Auto fare
2026-08-03,800,Utilities,Electricity bill
2026-08-05,500,Entertainment,Movie
2026-08-07,300,Food,Dinner
2026-08-10,150,Transport,Bus fare
2026-08-12,1200,Shopping,Clothes
2026-08-15,450,Food,Groceries
2026-08-18,900,Utilities,Internet bill
2026-08-20,350,Entertainment,Game
2026-08-22,200,Transport,Cab fare
2026-08-25,700,Shopping,Shoes
2026-08-27,400,Food,Dinner
2026-08-29,250,Transport,Auto fare
2026-08-30,600,Entertainment,Movie
